City;Postcode;Borough;Neighborhood
ADANA                         ;01720;ALADAG                        ;ALADAG                        
ADANA                         ;01722;ALADAG                        ;MADENLI                       
ADANA                         ;01922;CEYHAN                        ;BUYUKMANGIT                   
ADANA                         ;01920;CEYHAN                        ;CEYHAN                        
ADANA                         ;01924;CEYHAN                        ;MUSTAFABEYLI                  
ADANA                         ;01360;CUKUROVA                      ;HUZUREVLERI                   
ADANA                         ;01170;CUKUROVA                      ;MAHFESIGMAZ                   
ADANA                         ;01780;CUKUROVA                      ;SALBAS                        
ADANA                         ;01662;FEKE                          ;AKKAYA                        
ADANA                         ;01660;FEKE                          ;FEKE                          
ADANA                         ;01700;IMAMOGLU                      ;IMAMOGLU                      
ADANA                         ;01702;IMAMOGLU                      ;SAYGECIT                      
ADANA                         ;01770;KARAISALI                     ;KARAISALI                     
ADANA                         ;01900;KARATAS                       ;KARATAS                       
ADANA                         ;01555;KOZAN                         ;HACIBEYLI                     
ADANA                         ;01502;KOZAN                         ;KAHVELI                       
ADANA                         ;01500;KOZAN                         ;KOZAN                         
ADANA                         ;01490;POZANTI                       ;AKCATEKIR                     
ADANA                         ;01472;POZANTI                       ;GOKBEZ                        
ADANA                         ;01470;POZANTI                       ;POZANTI                       
ADANA                         ;01740;SAIMBEYLI                     ;SAIMBEYLI                     
ADANA                         ;01410;SARICAM                       ;BAKLALI                       
ADANA                         ;01460;SARICAM                       ;BURUK                         
ADANA                         ;01340;SARICAM                       ;INCIRLIK                      
ADANA                         ;01790;SARICAM                       ;OSMANGAZI                     
ADANA                         ;01250;SARICAM                       ;REMZIOGUZARIK                 
ADANA                         ;01040;SEYHAN                        ;AKKAPI                        
ADANA                         ;01130;SEYHAN                        ;DENIZLI                       
ADANA                         ;01080;SEYHAN                        ;EMEK                          
ADANA                         ;01190;SEYHAN                        ;FEVZIPASA                     
ADANA                         ;01120;SEYHAN                        ;GAZIPASA                      
ADANA                         ;01050;SEYHAN                        ;GULBAHCESI                    
ADANA                         ;01200;SEYHAN                        ;GURSELPASA                    
ADANA                         ;01365;SEYHAN                        ;HADIRLI                       
ADANA                         ;01020;SEYHAN                        ;HUKUMET                       
ADANA                         ;01355;SEYHAN                        ;KARAYUSUFLU                   
ADANA                         ;01060;SEYHAN                        ;KURUKOPRU                     
ADANA                         ;01430;SEYHAN                        ;KUCUKDIKILI                   
ADANA                         ;01160;SEYHAN                        ;MAVI BULVAR YURT              
ADANA                         ;01070;SEYHAN                        ;MEYDAN                        
ADANA                         ;01030;SEYHAN                        ;SAYDAM                        
ADANA                         ;01100;SEYHAN                        ;SAKIRPASA                     
ADANA                         ;01010;SEYHAN                        ;YAGCAMI                       
ADANA                         ;01180;SEYHAN                        ;YESILEVLER                    
ADANA                         ;01110;SEYHAN                        ;YESILOBA                      
ADANA                         ;01150;SEYHAN                        ;YESILYURT                     
